id;num_apfr;tranche_age;date_reception_cfv;date_retour_ct;date_enregistrement;date_depot_st;date_retour_st;date_notification;date_signature;taxes_totale;don_commune;superficie_securise;date_constatation
1;Licensed Concrete Table cross-platform;Vieux;2020-11-04;2020-11-03;2020-11-03;2020-11-04;2020-11-04;2020-11-03;2020-11-04;2020-11-04;59681;39040;2020-11-04
2;Licensed Health;Jeune;2020-11-03;2020-11-03;2020-11-04;2020-11-03;2020-11-04;2020-11-03;2020-11-04;2020-11-03;24215;38830;2020-11-04
3;blue;Adulte;2020-11-04;2020-11-03;2020-11-04;2020-11-04;2020-11-03;2020-11-04;2020-11-03;2020-11-04;99210;74246;2020-11-04
4;Frozen secondary scale;Vieux;2020-11-04;2020-11-04;2020-11-04;2020-11-03;2020-11-04;2020-11-03;2020-11-04;2020-11-03;11774;98069;2020-11-03
5;Engineer Illinois;Adulte;2020-11-04;2020-11-03;2020-11-04;2020-11-03;2020-11-03;2020-11-03;2020-11-04;2020-11-03;580;91914;2020-11-03
6;Arizona;Vieux;2020-11-04;2020-11-03;2020-11-03;2020-11-04;2020-11-03;2020-11-04;2020-11-03;2020-11-04;42928;44283;2020-11-04
7;Functionality;Adulte;2020-11-04;2020-11-04;2020-11-04;2020-11-03;2020-11-04;2020-11-03;2020-11-04;2020-11-03;42604;56668;2020-11-04
8;Canyon Louisiana;Jeune;2020-11-04;2020-11-04;2020-11-03;2020-11-03;2020-11-04;2020-11-03;2020-11-04;2020-11-04;945;13041;2020-11-03
9;Dynamic;Vieux;2020-11-03;2020-11-04;2020-11-04;2020-11-03;2020-11-04;2020-11-04;2020-11-04;2020-11-04;15763;3488;2020-11-03
10;Engineer;Adulte;2020-11-04;2020-11-03;2020-11-04;2020-11-04;2020-11-04;2020-11-03;2020-11-04;2020-11-04;50930;91923;2020-11-04
