id;date_elaboration;fonctionnalite;etat
1;2020-08-22;purple Unbranded;Intelligent Soft Chicken
2;2020-08-22;middleware;Netherlands Antillian Guilder Soft mesh
3;2020-08-21;PCI sky blue;olive Dynamic
4;2020-08-22;Sleek Soft Car;radical
5;2020-08-22;Canadian Dollar directional;olive AGP
6;2020-08-22;Bedfordshire;synthesizing
7;2020-08-21;input;cross-platform generate
8;2020-08-22;redundant driver Principal;Refined Soft Pants Cuban Peso Peso Convertible
9;2020-08-22;web-enabled Tala;Fiji Dollar Designer
10;2020-08-22;Personal Loan Account Personal Loan Account Usability;Public-key
