id;annees_academique;date_inscription
1;sky blue standardization;hack RAM
2;synthesize parallelism Product;program copying maroon
3;ROI Singapore Dollar emulation;PCI
4;Small Metal Mouse program Colombian Peso Unidad de Valor Real;Global Mouse Chair
5;focus group;Corners Alabama
6;Home Loan Account;Chilean Peso Unidades de fomento EXE
7;Lead USB Ball;Cambridgeshire
8;bandwidth-monitored Credit Card Account compressing;Enhanced
9;Industrial Planner;Car Movies
10;discrete Money Market Account Manager;panel Intelligent Soft
